style,content,TV,time
3.58E+11,7.24E+10,1.64E+06,05:42.7
3.62E+11,6.75E+10,1.63E+06,05:51.5
3.60E+11,7.48E+10,1.62E+06,06:00.3
3.63E+11,6.40E+10,1.61E+06,06:09.1
3.64E+11,6.19E+10,1.59E+06,06:17.9
3.61E+11,6.79E+10,1.61E+06,06:26.7
3.63E+11,7.33E+10,1.61E+06,06:35.5
3.62E+11,6.46E+10,1.58E+06,06:44.3
3.66E+11,5.93E+10,1.56E+06,06:53.1
3.68E+11,5.59E+10,1.54E+06,07:01.9
3.67E+11,5.78E+10,1.54E+06,07:10.7
3.70E+11,5.51E+10,1.53E+06,07:19.6
3.70E+11,5.22E+10,1.51E+06,07:28.4
3.71E+11,5.06E+10,1.50E+06,07:37.2
3.67E+11,5.93E+10,1.49E+06,07:46.2
3.71E+11,5.22E+10,1.49E+06,07:55.2
3.73E+11,4.86E+10,1.48E+06,08:04.3
3.68E+11,5.69E+10,1.47E+06,08:13.4
3.63E+11,6.48E+10,1.50E+06,08:22.3
3.69E+11,5.52E+10,1.47E+06,08:31.4
3.73E+11,4.88E+10,1.46E+06,08:40.7
3.75E+11,4.58E+10,1.45E+06,08:50.1
3.76E+11,4.43E+10,1.45E+06,08:59.3
3.76E+11,4.51E+10,1.44E+06,09:08.5
3.77E+11,4.37E+10,1.44E+06,09:17.4
3.77E+11,4.26E+10,1.43E+06,09:26.4
3.77E+11,4.50E+10,1.43E+06,09:35.3
3.76E+11,4.23E+10,1.42E+06,09:44.3
3.79E+11,4.03E+10,1.42E+06,09:53.2
3.77E+11,4.34E+10,1.41E+06,10:02.2
3.72E+11,5.45E+10,1.42E+06,10:11.0
3.76E+11,4.52E+10,1.41E+06,10:19.8
3.78E+11,4.08E+10,1.41E+06,10:28.7
3.79E+11,3.91E+10,1.40E+06,10:37.5
3.80E+11,3.73E+10,1.40E+06,10:46.4
3.79E+11,4.01E+10,1.40E+06,10:55.2
3.81E+11,3.71E+10,1.39E+06,11:04.0
3.82E+11,3.58E+10,1.39E+06,11:12.9
3.82E+11,3.63E+10,1.39E+06,11:21.7
3.83E+11,3.63E+10,1.37E+06,11:30.6
3.83E+11,3.43E+10,1.37E+06,11:39.4
3.83E+11,3.37E+10,1.38E+06,11:48.2
3.64E+11,8.03E+10,1.35E+06,11:57.1
3.72E+11,5.54E+10,1.40E+06,12:05.9
3.80E+11,4.25E+10,1.38E+06,12:14.7
3.82E+11,3.70E+10,1.38E+06,12:23.6
3.83E+11,3.49E+10,1.37E+06,12:32.4
3.84E+11,3.48E+10,1.36E+06,12:41.2
3.84E+11,3.45E+10,1.36E+06,12:50.1
3.85E+11,3.20E+10,1.36E+06,12:58.9
3.86E+11,3.07E+10,1.35E+06,13:07.8
3.85E+11,3.37E+10,1.35E+06,13:16.6
3.86E+11,3.04E+10,1.35E+06,13:25.4
3.86E+11,3.02E+10,1.34E+06,13:34.3
3.77E+11,5.24E+10,1.38E+06,13:43.1
3.79E+11,4.02E+10,1.38E+06,13:51.9
3.84E+11,3.41E+10,1.36E+06,14:00.8
3.86E+11,3.07E+10,1.35E+06,14:09.6
3.87E+11,2.90E+10,1.35E+06,14:18.5
3.85E+11,3.57E+10,1.36E+06,14:27.3
3.87E+11,2.92E+10,1.35E+06,14:36.1
3.89E+11,2.76E+10,1.34E+06,14:45.0
3.89E+11,2.71E+10,1.34E+06,14:53.8
3.88E+11,2.86E+10,1.34E+06,15:02.6
3.89E+11,2.71E+10,1.34E+06,15:11.5
3.89E+11,2.77E+10,1.33E+06,15:20.3
3.89E+11,2.67E+10,1.34E+06,15:29.2
3.90E+11,2.63E+10,1.34E+06,15:38.0
3.90E+11,2.69E+10,1.33E+06,15:46.8
3.83E+11,3.77E+10,1.37E+06,15:55.7
3.88E+11,2.88E+10,1.35E+06,16:04.5
3.90E+11,2.63E+10,1.34E+06,16:13.4
3.91E+11,2.50E+10,1.34E+06,16:22.2
3.90E+11,2.45E+10,1.33E+06,16:31.0
3.84E+11,3.48E+10,1.33E+06,16:39.9
3.86E+11,2.97E+10,1.37E+06,16:48.7
3.90E+11,2.59E+10,1.35E+06,16:57.6
3.92E+11,2.44E+10,1.34E+06,17:06.4
3.92E+11,2.35E+10,1.33E+06,17:15.3
3.91E+11,2.90E+10,1.33E+06,17:24.1
3.71E+11,6.24E+10,1.37E+06,17:32.9
3.83E+11,3.95E+10,1.34E+06,17:41.8
3.86E+11,3.33E+10,1.36E+06,17:50.6
3.84E+11,3.83E+10,1.36E+06,17:59.4
3.87E+11,3.96E+10,1.36E+06,18:08.3
3.89E+11,3.04E+10,1.36E+06,18:17.1
3.92E+11,2.61E+10,1.35E+06,18:26.0
3.93E+11,2.41E+10,1.34E+06,18:34.8
3.93E+11,2.31E+10,1.34E+06,18:43.6
3.94E+11,2.25E+10,1.34E+06,18:52.5
3.94E+11,2.20E+10,1.33E+06,19:01.3
3.94E+11,2.22E+10,1.34E+06,19:10.1
3.95E+11,2.14E+10,1.33E+06,19:19.0
3.94E+11,2.17E+10,1.33E+06,19:27.8
3.95E+11,2.13E+10,1.33E+06,19:36.6
3.95E+11,2.35E+10,1.32E+06,19:45.5
3.96E+11,2.09E+10,1.33E+06,19:54.3
3.95E+11,2.07E+10,1.33E+06,20:03.2
3.95E+11,2.03E+10,1.33E+06,20:12.0
3.89E+11,3.06E+10,1.37E+06,20:20.8
3.95E+11,2.19E+10,1.35E+06,20:29.7
3.96E+11,2.10E+10,1.33E+06,20:38.5
3.96E+11,2.00E+10,1.33E+06,20:47.3
3.96E+11,1.96E+10,1.33E+06,20:56.2
3.87E+11,3.61E+10,1.31E+06,21:05.0
3.80E+11,4.64E+10,1.38E+06,21:13.8
3.89E+11,3.13E+10,1.35E+06,21:22.7
3.93E+11,2.50E+10,1.35E+06,21:31.5
3.95E+11,2.18E+10,1.35E+06,21:40.4
3.96E+11,2.04E+10,1.34E+06,21:49.2
3.97E+11,1.96E+10,1.34E+06,21:58.0
